epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,366.323,0.4309,0.33289,0.24562,0.00917,0.09158,0.97382,1,0.99451,0.98621,0.97382,1,0.99451,0.99451,0.19846,0.17876,0.10197,0.0071,0,0.000808389,0.000808389,0.000808389
60,372.115,0.43264,0.34404,0.23522,0.00962,0.09584,0.99726,1,0.995,0.97265,0.99726,1,0.995,0.99243,0.31075,0.18222,0.12042,0.01098,0,0.000802208,0.000802208,0.000802208
61,378.309,0.45528,0.39954,0.24826,0.01046,0.09688,0.99953,1,0.995,0.91157,0.99953,1,0.995,0.993,0.40283,0.17221,0.15146,0.01376,0,0.000795954,0.000795954,0.000795954
62,384.383,0.45632,0.38138,0.26689,0.00959,0.1126,1,0.99554,0.995,0.96704,1,0.99554,0.995,0.995,0.31132,0.17465,0.11333,0.01101,0,0.000789628,0.000789628,0.000789628
63,390.139,0.40482,0.42697,0.21863,0.00923,0.09863,0.99823,1,0.995,0.98549,0.99823,1,0.995,0.99474,0.2507,0.18685,0.10746,0.00894,0,0.000783231,0.000783231,0.000783231
64,396.144,0.39006,0.30457,0.20491,0.00888,0.10305,0.99432,1,0.995,0.90646,0.99432,1,0.995,0.9925,0.42216,0.18017,0.15845,0.01565,0,0.000776766,0.000776766,0.000776766
65,401.843,0.44455,0.3783,0.24202,0.00941,0.1184,0.9974,1,0.995,0.95654,0.9974,1,0.995,0.9889,0.28102,0.17001,0.10595,0.01061,0,0.000770234,0.000770234,0.000770234
66,407.618,0.44187,0.37748,0.25996,0.01018,0.09541,1,0.97198,0.99451,0.9016,1,0.97198,0.99451,0.95635,0.49714,0.17035,0.16882,0.01816,0,0.000763637,0.000763637,0.000763637
67,413.635,0.40604,0.4036,0.20921,0.01037,0.0877,1,0.99727,0.995,0.97486,1,0.99727,0.995,0.995,0.27469,0.20532,0.10612,0.0094,0,0.000756976,0.000756976,0.000756976
68,419.654,0.4519,0.41131,0.26204,0.01049,0.09777,1,0.99469,0.995,0.95746,1,0.99469,0.995,0.995,0.32599,0.22844,0.13073,0.01166,0,0.000750252,0.000750252,0.000750252
69,425.432,0.37688,0.29043,0.21281,0.00851,0.09467,0.99818,1,0.995,0.97635,0.99818,1,0.995,0.995,0.26286,0.17733,0.09611,0.0093,0,0.000743468,0.000743468,0.000743468
70,431.495,0.37507,0.33797,0.18698,0.00866,0.124,0.9908,1,0.995,0.9868,0.9908,1,0.995,0.995,0.23915,0.17312,0.0994,0.00831,0,0.000736625,0.000736625,0.000736625
71,437.247,0.46007,0.41226,0.25472,0.00997,0.09711,0.98963,1,0.995,0.98454,0.98963,1,0.995,0.995,0.24294,0.16783,0.11462,0.00828,0,0.000729725,0.000729725,0.000729725
72,443.356,0.40763,0.28868,0.20872,0.00945,0.08044,1,0.99193,0.995,0.96387,1,0.99193,0.995,0.995,0.27247,0.16333,0.11324,0.00964,0,0.00072277,0.00072277,0.00072277
73,449.167,0.3794,0.4105,0.2577,0.00831,0.0951,0.95009,1,0.9933,0.98053,0.95009,1,0.9933,0.99274,0.24088,0.16748,0.14507,0.00867,0,0.000715761,0.000715761,0.000715761
74,455.29,0.37348,0.2914,0.19678,0.00784,0.07581,0.99772,1,0.995,0.98654,0.99772,1,0.995,0.995,0.23868,0.17062,0.09739,0.00852,0,0.0007087,0.0007087,0.0007087
75,461.52,0.39666,0.38972,0.22391,0.00855,0.10406,0.99849,1,0.995,0.93221,0.99849,1,0.995,0.99213,0.39054,0.17805,0.12314,0.0141,0,0.000701588,0.000701588,0.000701588
76,467.712,0.43042,0.42047,0.23048,0.00924,0.09268,0.99932,1,0.995,0.97973,0.99932,1,0.995,0.995,0.27787,0.18062,0.09557,0.01012,0,0.000694428,0.000694428,0.000694428
77,473.87,0.41541,0.41631,0.24986,0.00897,0.09519,0.99871,1,0.995,0.96511,0.99871,1,0.995,0.995,0.27814,0.17414,0.0857,0.01001,0,0.000687222,0.000687222,0.000687222
