epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,9046.93,0.59834,0.9046,0.9336,0.00545,0.22311,0.4643,0.34743,0.332,0.28055,0.47127,0.34978,0.33653,0.26814,0.73118,1.48888,1.94372,0.01165,0,2.11854e-05,2.11854e-05,2.11854e-05
80,9160.1,0.60037,0.90423,0.9305,0.00549,0.22042,0.4854,0.33017,0.33579,0.28336,0.4969,0.3295,0.33934,0.27047,0.73105,1.47765,1.93863,0.01169,0,2.02647e-05,2.02647e-05,2.02647e-05
81,9273.93,0.59715,0.89997,0.92414,0.00547,0.22033,0.46864,0.34156,0.33387,0.28177,0.46912,0.34533,0.33649,0.26913,0.72955,1.49832,1.94543,0.01165,0,1.9344e-05,1.9344e-05,1.9344e-05
82,9389.11,0.59845,0.90442,0.91966,0.00552,0.22012,0.4806,0.33296,0.33524,0.28229,0.48537,0.33488,0.33801,0.2693,0.73272,1.48186,1.94347,0.01171,0,1.84233e-05,1.84233e-05,1.84233e-05
83,9502.86,0.59877,0.89707,0.91162,0.00542,0.21877,0.50158,0.32913,0.33767,0.28402,0.50574,0.33407,0.3407,0.27114,0.73424,1.49758,1.94224,0.01177,0,1.75026e-05,1.75026e-05,1.75026e-05
84,9616.76,0.59788,0.89552,0.91234,0.00544,0.22213,0.4846,0.33879,0.33613,0.28323,0.49715,0.33529,0.33861,0.26928,0.73213,1.49221,1.94798,0.01175,0,1.65819e-05,1.65819e-05,1.65819e-05
85,9730.01,0.59324,0.89102,0.91249,0.00547,0.2175,0.47032,0.34817,0.33376,0.28107,0.47384,0.35214,0.33659,0.26795,0.73233,1.50105,1.94508,0.01169,0,1.56612e-05,1.56612e-05,1.56612e-05
86,9843.63,0.59445,0.89194,0.9004,0.00545,0.21145,0.46382,0.34178,0.33295,0.28048,0.47262,0.34178,0.33609,0.26768,0.73432,1.49953,1.96783,0.01174,0,1.47405e-05,1.47405e-05,1.47405e-05
87,9957.18,0.5935,0.88664,0.89698,0.00541,0.21565,0.48207,0.33829,0.33742,0.28456,0.4842,0.3411,0.34083,0.27132,0.73144,1.49497,1.94402,0.01166,0,1.38198e-05,1.38198e-05,1.38198e-05
88,10070.6,0.59681,0.89423,0.91279,0.00549,0.21537,0.49509,0.32454,0.33619,0.28355,0.50952,0.32282,0.33907,0.27031,0.73352,1.48948,1.95397,0.0117,0,1.28991e-05,1.28991e-05,1.28991e-05
89,10184.8,0.59667,0.89667,0.91056,0.00542,0.21891,0.47401,0.337,0.33543,0.28244,0.48074,0.33504,0.33853,0.26952,0.73245,1.49316,1.95224,0.01169,0,1.19784e-05,1.19784e-05,1.19784e-05
90,10298.5,0.58662,0.87769,0.89125,0.00544,0.21118,0.48423,0.34466,0.33653,0.28286,0.49077,0.34609,0.33921,0.26969,0.73019,1.48761,1.96056,0.01162,0,1.10577e-05,1.10577e-05,1.10577e-05
91,10428,0.53819,0.8053,0.6799,0.00683,0.1077,0.5088,0.32134,0.3302,0.27707,0.50715,0.32259,0.33271,0.26489,0.74622,1.52932,1.99546,0.01198,0,1.0137e-05,1.0137e-05,1.0137e-05
92,10540.5,0.52428,0.79549,0.62773,0.00654,0.10111,0.49537,0.3215,0.32922,0.27729,0.4983,0.3244,0.33277,0.2651,0.74523,1.5217,1.99564,0.01198,0,9.2163e-06,9.2163e-06,9.2163e-06
93,10653,0.51549,0.78039,0.60895,0.00637,0.09993,0.48639,0.33017,0.33157,0.27852,0.47756,0.33735,0.33393,0.26606,0.74281,1.52276,2.00137,0.01193,0,8.2956e-06,8.2956e-06,8.2956e-06
94,10766,0.51353,0.77996,0.59892,0.00633,0.09861,0.47872,0.33407,0.33304,0.28041,0.48033,0.33747,0.33615,0.26792,0.74096,1.51606,2.00311,0.0119,0,7.3749e-06,7.3749e-06,7.3749e-06
95,10879.1,0.51512,0.77899,0.59974,0.00629,0.09781,0.49829,0.3246,0.33193,0.27965,0.50366,0.32728,0.33492,0.26737,0.74106,1.52906,2.00272,0.01189,0,6.4542e-06,6.4542e-06,6.4542e-06
96,10992,0.51048,0.76924,0.59377,0.00624,0.09727,0.45858,0.33434,0.33396,0.2802,0.45729,0.33262,0.33527,0.26736,0.73994,1.52492,2.01013,0.01187,0,5.5335e-06,5.5335e-06,5.5335e-06
97,11104.4,0.50961,0.77435,0.59017,0.00628,0.09688,0.46246,0.33205,0.33365,0.28042,0.4745,0.3291,0.33551,0.26738,0.7402,1.52906,2.00815,0.01187,0,4.6128e-06,4.6128e-06,4.6128e-06
98,11217.5,0.50863,0.77237,0.58417,0.00623,0.09592,0.48102,0.32658,0.33429,0.28025,0.48285,0.32972,0.33569,0.26733,0.74042,1.52915,2.00482,0.01187,0,3.6921e-06,3.6921e-06,3.6921e-06
99,11330.2,0.50993,0.77552,0.585,0.00619,0.09647,0.48644,0.32659,0.33245,0.27982,0.48425,0.33173,0.33529,0.26712,0.74137,1.53097,2.00908,0.01189,0,2.7714e-06,2.7714e-06,2.7714e-06
100,11443.2,0.50599,0.76971,0.57582,0.00618,0.09541,0.48709,0.32702,0.33349,0.28071,0.48914,0.33013,0.33616,0.26792,0.73965,1.53369,2.00957,0.01186,0,1.8507e-06,1.8507e-06,1.8507e-06
